Zip Code,Total times 1k,num returns
90745,1411474000,27950
90745,139757000,10340
90745,272656000,7530
90745,255359000,4130
90745,208422000,2410
90745,428395000,3200
90745,106885000,340
90746,817420000,13700
90746,57199000,4380
90746,121858000,3310
90746,135737000,2180
90746,129552000,1490
90746,273370000,2040
90746,99704000,300
90755,423373000,5800
90755,22807000,1700
90755,50955000,1370
90755,53294000,860
90755,58167000,670
90755,117374000,870
90755,120776000,330
90802,1161549000,19990
90802,94124000,6740
90802,208006000,5610
90802,193253000,3120
90802,165543000,1910
90802,282438000,2090
90802,218185000,520
90803,2204168000,17860
90803,49036000,3820
90803,121661000,3140
90803,175195000,2770
90803,202098000,2290
90803,505036000,3580
90803,1151142000,2260
90804,783569000,17870
90804,100460000,7360
90804,197523000,5420
90804,151045000,2450
90804,109182000,1260
90804,151881000,1150
90804,73478000,230
90805,1547043000,40810
90805,253321000,18070
90805,455780000,12730
90805,329494000,5390
90805,217689000,2520
90805,248779000,1960
90805,41980000,140
90806,755683000,18490
90806,117309000,8360
90806,197572000,5500
90806,133245000,2180
90806,93116000,1070
90806,161352000,1220
90806,53089000,160
90807,1317123000,16330
90807,59045000,4520
90807,137329000,3670
90807,159242000,2540
90807,148281000,1690
90807,401386000,2870
90807,411840000,1040
90808,1741976000,19530
90808,59921000,4860
90808,116169000,3100
90808,154540000,2450
90808,207401000,2340
90808,745297000,5250
90808,458648000,1530
90810,706700000,16870
90810,98732000,7080
90810,183518000,5090
90810,141142000,2300
90810,102544000,1190
90810,142373000,1110
90810,38391000,100
90813,657077000,21640
90813,164701000,11580
90813,243620000,6960
90813,117207000,1930
90813,59288000,690
90813,55009000,430
90813,17252000,50
90814,792440000,10020
90814,36315000,2740
90814,89614000,2370
90814,101569000,1640
90814,97662000,1110
90814,205201000,1480
90814,262079000,680
90815,1711949000,19080
90815,59420000,4940
90815,123012000,3270
90815,167724000,2670
90815,198651000,2260
90815,623123000,4400
90815,540019000,1540
91001,1734853000,17380
91001,66308000,5260
91001,118733000,3210
91001,126687000,2020
91001,141757000,1610
91001,482277000,3350
91001,799091000,1930
91006,1670296000,14510
91006,53424000,4430
91006,101034000,2690
91006,109206000,1730
91006,115015000,1300
91006,373133000,2620
91006,918484000,1740
91007,1343850000,14320
91007,56090000,4570
91007,106688000,2860
91007,114855000,1820
91007,116886000,1320
91007,332146000,2360
91007,617185000,1390
91008,89541000,510
91008,1217000,120
91008,2851000,80
91008,3622000,60
91008,3932000,50
91008,13709000,90
91008,64210000,110
91010,693881000,12110
91010,58573000,4360
91010,114773000,3140
91010,108149000,1740
91010,97266000,1120
91010,195535000,1450
91010,119585000,300
91011,2780233000,9610
91011,22381000,2150
91011,39577000,1050
91011,51276000,810
91011,58062000,650
91011,269207000,1790
91011,2339730000,3160
91016,1382893000,19280
91016,82156000,6240
91016,159521000,4320
91016,177410000,2840
91016,162438000,1850
91016,422695000,3040
91016,378673000,990
91020,244594000,3650
91020,14218000,1130
91020,30752000,810
91020,34936000,560
91020,35717000,410
91020,80286000,580
91020,48685000,160
91024,689376000,5490
91024,15879000,1320
91024,33291000,880
91024,44359000,710
91024,49127000,560
91024,166716000,1160
91024,380004000,860
91030,1624972000,12580
91030,36859000,3090
91030,81595000,2140
91030,110460000,1750
91030,118643000,1350
91030,338331000,2380
91030,939084000,1870
91040,714116000,9900
91040,40125000,3150
91040,82018000,2190
91040,89137000,1420
91040,87919000,1000
91040,234743000,1710
91040,180174000,430
91042,729715000,12320
91042,56980000,4370
91042,109133000,2930
91042,112518000,1800
91042,97384000,1110
91042,236708000,1730
91042,116992000,380
91101,858731000,9670
91101,34713000,2610
91101,77485000,2050
91101,97570000,1540
91101,98650000,1130
91101,230477000,1680
91101,319836000,660
91103,1003555000,11960
91103,66539000,4950
91103,103520000,2870
91103,78778000,1270
91103,67491000,770
91103,171300000,1220
91103,515927000,880
91104,1279851000,16530
91104,72299000,5570
91104,132063000,3580
91104,132016000,2110
91104,126375000,1430
91104,375906000,2640
91104,441192000,1200
91105,1511839000,6630
91105,15169000,1330
91105,30200000,790
91105,45838000,720
91105,53465000,610
91105,212545000,1440
91105,1154622000,1740
91106,1509933000,11710
91106,42365000,3220
91106,96103000,2580
91106,105380000,1670
91106,105790000,1210
91106,257199000,1830
91106,903096000,1200
91107,1766887000,16490
91107,58399000,4670
91107,112460000,3010
91107,134008000,2130
91107,142350000,1610
91107,436541000,3060
91107,883129000,2010
91108,2180147000,6200
91108,15708000,1490
91108,26792000,710
91108,32515000,510
91108,39113000,440
91108,165160000,1130
91108,1900859000,1920
91201,625526000,10150
91201,50121000,3960
91201,90548000,2440
91201,81954000,1320
91201,73975000,850
