"ZIP
code [1]",State and local income taxes,
,Number of returns,Amount
90604,"5,280","28,111"
90604,100,114
90604,610,926
90604,1030,2658
90604,1140,4647
90604,2160,15323
90604,240,4443
,,
90605,"5,040","40,023"
90605,120,126
90605,680,986
90605,1030,2790
90605,1080,4324
90605,1690,11956
90605,440,19841
,,
90606,"3,670","15,467"
90606,100,83
90606,640,882
90606,900,2303
90606,860,3388
90606,1090,7455
90606,80,1356
,,
90620,"6,680","41,568"
90620,140,117
90620,700,1019
90620,1130,2971
90620,1380,5507
90620,2860,21389
90620,470,10565
,,
90621,"3,170","27,669"
90621,90,106
90621,420,574
90621,620,1762
90621,650,2929
90621,1030,8074
90621,360,14224
,,
90623,"2,700","24,141"
90623,60,111
90623,180,331
90623,350,1039
90623,420,1832
90623,1240,9875
90623,450,10953
,,
90630,"8,370","77,799"
90630,120,181
90630,570,972
90630,1020,2864
90630,1360,6000
90630,3920,31212
90630,1380,36570
,,
90631,"9,070","90,339"
90631,200,606
90631,920,1471
90631,1470,4252
90631,1640,7022
90631,3510,26599
90631,1330,50389
,,
90638,"7,700","55,877"
90638,180,280
90638,660,1007
90638,1200,3293
90638,1480,6131
90638,3410,25780
90638,770,19386
,,
90640,"5,930","34,245"
90640,190,175
90640,970,1362
90640,1340,3772
90640,1230,5339
90640,1840,13889
90640,360,9708
,,
90650,"11,240","45,218"
90650,340,308
90650,2130,2876
90650,2840,7212
90650,2550,9860
90650,3140,20734
90650,240,4228
,,
90660,"6,520","26,859"
90660,250,287
90660,1260,1728
90660,1700,4394
90660,1400,5501
90660,1760,11901
90660,150,3048
,,
90670,"2,310","17,799"
90670,70,51
90670,340,517
90670,500,1327
90670,470,1955
90670,790,5592
90670,140,8357
,,
90680,"2,750","12,734"
90680,80,66
90680,490,733
90680,690,1845
90680,640,2699
90680,770,5595
90680,80,1796
,,
90701,"1,510","10,535"
90701,50,36
90701,260,348
90701,310,852
90701,290,1261
90701,480,3621
90701,120,4417
,,
90703,"9,100","91,261"
90703,160,458
90703,590,1099
90703,1080,3300
90703,1420,6373
90703,4090,33687
90703,1760,46344
,,
90706,"7,520","36,573"
90706,220,197
90706,1350,1966
90706,1730,4438
90706,1570,6494
90706,2370,17292
90706,280,6186
,,
90710,"3,150","20,105"
90710,90,106
90710,360,502
90710,580,1634
90710,610,2653
90710,1260,9706
90710,250,5504
,,
90712,"6,180","44,196"
90712,100,104
90712,480,722
90712,920,2692
90712,1250,5354
90712,2910,22173
90712,520,13151
,,
90713,"5,800","40,199"
90713,90,191
90713,350,561
90713,730,2083
90713,1130,4819
90713,2970,22943
90713,530,9602
,,
90715,"2,500","12,566"
90715,60,45
90715,360,542
90715,520,1398
90715,540,2265
90715,930,6698
90715,90,1618
,,
90716,800,"2,317"
90716,50,20
90716,240,272
90716,240,572
90716,150,551
90716,120,902
90716,**,**
,,
90717,"2,940","21,242"
90717,70,164
90717,280,482
90717,460,1449
90717,560,2597
90717,1240,10054
90717,330,6496
,,
90720,"4,470","75,012"
90720,70,188
90720,200,397
90720,340,1024
90720,560,2657
90720,1820,16079
90720,1480,54667
,,
90723,"3,770","14,174"
90723,200,170
90723,1010,1309
90723,1140,2787
90723,730,2844
90723,610,4031
90723,80,3033
,,
90731,"6,630","50,280"
90731,180,387
90731,840,1485
90731,1090,3320
90731,1190,5744
90731,2640,21846
90731,690,17498
,,
90732,"4,510","43,132"
90732,70,162
90732,240,478
90732,590,1823
90732,830,3976
90732,1970,16952
90732,810,19741
,,
90740,"4,900","71,272"
90740,110,232
90740,270,568
90740,540,1978
90740,650,3189
90740,1960,17101
90740,1370,48204
,,
90744,"3,530","15,811"
90744,120,97
90744,750,981
90744,850,2089
90744,640,2540
90744,1060,8060
90744,110,2044
,,
90745,"7,690","40,532"
90745,260,204
90745,1290,1755
90745,1650,4339
90745,1500,6099
90745,2670,19359
90745,320,8776
,,
90746,"4,840","27,461"
90746,140,106
90746,620,857
90746,1000,2570
90746,1050,4420
90746,1740,12523
90746,290,6985
,,
90755,"2,030","19,866"
90755,40,96
90755,210,290
90755,320,969
90755,420,2101
90755,730,6402
90755,310,10008
,,
90802,"5,020","44,659"
90802,140,220
90802,640,1127
90802,1000,3227
90802,1140,6329
90802,1630,15166
90802,470,18590
,,
90803,"7,560","145,888"
90803,140,432
90803,390,928
90803,770,2738
90803,1270,6992
90803,2810,26114
90803,2180,108684
,,
90804,"3,160","20,205"
90804,110,162
90804,520,855
90804,730,2442
90804,700,3629
90804,880,7365
90804,220,5752
,,
90805,"7,530","27,611"
90805,290,254
90805,1690,2205
90805,2170,5511
90805,1640,6334
90805,1610,10982
90805,130,2325
,,
90806,"3,470","17,423"
90806,140,140
90806,710,1023
90806,790,2104
90806,660,2789
90806,1020,7550
90806,150,3817
,,
90807,"6,170","65,074"
90807,120,231
90807,550,978
90807,1020,3070
90807,1080,5129
90807,2390,19870
90807,1010,35796
,,
90808,"8,920","80,814"
90808,110,244
90808,430,916
90808,940,2765
90808,1510,6869
90808,4450,35949
90808,1480,34071
,,
90810,"3,610","14,640"
90810,150,97
90810,800,1120
90810,970,2358
90810,730,2791
90810,870,5761
90810,90,2513
,,
90813,"1,910","7,519"
90813,130,124
90813,570,784
90813,500,1434
90813,350,1688
90813,310,2416
90813,50,1073
,,
90814,"3,220","36,402"
90814,70,89
90814,270,462
90814,430,1599
90814,620,3161
90814,1170,10460
90814,660,20631
,,
90815,"8,090","83,483"
90815,120,223
90815,480,963
90815,950,2893
90815,1360,6359
90815,3690,30191
90815,1490,42854
,,
91001,"7,270","99,139"
91001,200,463
91001,470,868
91001,810,2457
91001,1050,4916
91001,2870,25015
91001,1870,65420
,,
91006,"5,390","108,797"
91006,130,517
91006,310,790
91006,510,1689
91006,710,3600
91006,2070,17868
91006,1660,84333
,,
91007,"4,640","75,512"
91007,120,268
91007,280,678
91007,500,1776
91007,660,3339
91007,1770,15461
91007,1310,53990
,,
91008,240,"9,323"
91008,0,0
91008,**,**
91008,30,93
91008,30,212
91008,80,856
91008,100,8162
,,
91010,"3,310","23,854"
91010,80,62
91010,430,600
91010,680,1846
91010,660,2775
91010,1180,9024
91010,280,9547
,,
91011,"5,260","253,124"
91011,70,223
91011,130,476
91011,230,840
91011,340,1758
91011,1430,13036
91011,3060,236791
,,
91016,"5,940","57,200"
91016,120,255
91016,490,957
91016,900,2526
91016,1040,4811
91016,2440,19957
91016,950,28694
,,
91020,"1,060","8,799"
91020,20,59
91020,100,160
91020,140,417
91020,200,1061
91020,450,3644
91020,150,3458
,,
91024,"2,410","45,263"
91024,50,287
91024,100,315
91024,200,815
91024,290,1561
91024,930,8242
91024,840,34043
,,
91030,"4,970","106,508"
91030,100,298
91030,240,592
91030,450,1544
91030,610,3326
91030,1760,15868
91030,1810,84880
,,
91040,"3,490","30,895"
91040,100,122
91040,330,545
91040,570,1664
91040,640,2906
